"Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"ZLNCKPV5","journalArticle",2017,"Chan, Chia S.; Chan, Kok-Gan; Ee, Robson; Hong, Kar-Wai; Urbieta, Mar-A S.; Donati, Edgardo R.; Shamsir, Mohd S.; Goh, Kian M.","Effects of Physiochemical Factors on Prokaryotic Biodiversity in Malaysian Circumneutral Hot Springs","FRONTIERS IN MICROBIOLOGY",NA,NA,"10.3389/fmicb.2017.01252",NA,"Malaysia has a great number of hot springs, especially along the flank of the Banjaran Titiwangsa mountain range. Biological studies of the Malaysian hot springs are rare because of the lack of comprehensive information on their microbial communities. In this study, we report a cultivation-independent census to describe microbial communities in six hot springs. The Ulu Slim (US), Sungai Klah (SK), Dusun Tua (DT), Sungai Serai (SS), Semenyih (SE), and Ayer Hangat (AH) hot springs exhibit circumneutral pH with temperatures ranging from 43 degrees C to 90 degrees C. Genomic DNA was extracted from environmental samples and the V3-V4 hypervariable regions of 16S rRNA genes were amplified, sequenced, and analyzed. High-throughput sequencing analysis showed that microbial richness was high in all samples as indicated by the detection of 6,334-26,244 operational taxonomy units. In total, 59, 61, 72, 73, 65, and 52 bacterial phyla were identified in the US, SK, DT, SS, SE, and AH hot springs, respectively. Generally, Firmicutes and Proteobacteria dominated the bacterial communities in all hot springs. Archaeal communities mainly consisted of Crenarchaeota, Euryarchaeota, and Parvarchaeota. In beta diversity analysis, the hot spring microbial memberships were clustered primarily on the basis of temperature and salinity. Canonical correlation analysis to assess the relationship between the microbial communities and physicochemical variables revealed that diversity patterns were best explained by a combination of physicochemical variables, rather than by individual abiotic variables such as temperature and salinity.","2017-07-06","2022-06-27 16:28:41","2022-07-19 15:30:55",NA,"",NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-water; var-temperature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WYB8XS4A","journalArticle",2020,"Cao, Lei; Lee, Sang Gil; Melough, Melissa M.; Sakaki, Junichi R.; Maas, Kendra R.; Koo, Sung I.; Chun, Ock K.","Long-Term Blackcurrant Supplementation Modified Gut Microbiome Profiles in Mice in an Age-Dependent Manner: An Exploratory Study","NUTRIENTS",NA,NA,"10.3390/nu12020290",NA,"Recent studies have suggested that blackcurrant (BC) anthocyanins have promising health benefits, possibly through regulating gut microbiome. Three- and eighteen-month old female mice were fed standard mouse diets for 4 months, each with or without BC (1% w/w) supplementation (n = 3 in each treatment group, 12 in total). We then assessed gut microbiome profiles using 16S sequencing of their feces. Old mice had a less diverse microbiome community compared to young mice and there was a remarkable age-related difference in microbiome composition in the beta diversity analysis. BC supplementation did not significantly affect alpha or beta diversity. The relative abundance of several phyla, including Firmicutes, Bacteroidetes, Proteobacteria and Tenericutes, was lower in old mice. BC downregulated Firmicutes abundance in young mice and upregulated Bacteroidetes in both age groups, leading to a decreased Firmicutes/Bacteroidetes ratio. There were age-specific differences in the effect of BC supplementation on the microbiome. Twenty-four operational taxonomic units showed a significant interaction between age and BC supplementation (p < 0.01), which suggests that the ecosystem and the host health status affect the functions and efficiency of BC intake. These results indicate that BC supplementation favorably modulates gut microbiome, but there are distinct age-specific differences. Studies with human hosts are needed to better understand BC's regulatory effects on the gut microbiome.","2020-02","2022-06-27 16:28:42","2022-06-30 19:30:44",NA,"",NA,"2",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-rodent gut; var-diet; var-treatment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8NR9XIRY","journalArticle",2020,"Louime, Clifford Jaylen; Vazquez-Sanchez, Frances; Derilus, Dieunel; Godoy-Vitorino, Filipa","Divergent Microbiota Dynamics along the Coastal Marine Ecosystem of Puerto Rico","MICROBIOLOGY RESEARCH",NA,NA,"10.3390/microbiolres11020009",NA,"Understanding the different factors shaping the spatial and temporal distribution of marine microorganisms is fundamental in predicting their responses to future environmental disturbances. There has been, however, little effort to characterize the microbial diversity including the microbiome dynamics among regions in the Caribbean Sea. Toward this end, this study was designed to gain some critical insights into microbial diversity within the coastal marine ecosystem off the coast of Puerto Rico. Using Illumina MiSeq, the V4 region of the 16S rRNA gene was sequenced with the goal of characterizing the microbial diversity representative of different coastal sites around the island of Puerto Rico. This study provided valuable insights in terms of the local bacterial taxonomic abundance, alpha and beta diversity, and the environmental factors shaping microbial community composition and structure. The most dominant phyla across all 11 sampling sites were the Proteobacteria, Bacteroidetes, and Planctomycetes, while the least dominant taxonomic groups were the NKB19, Tenericutes, OP3, Lentisphaerae, and SAR406. The geographical area (Caribbean and Atlantic seas) and salinity gradients were the main drivers shaping the marine microbial community around the island. Despite stable physical and chemical features of the different sites, a highly dynamic microbiome was observed. This highlights Caribbean waters as one of the richest marine sources for a microbial biodiversity hotspot. The data presented here provide a basis for further temporal evaluations aiming at deciphering microbial taxonomic diversity around the island, while determining how microbes adapt to changes in the climate.","2020","2022-06-27 16:28:42","2022-06-29 17:17:36",NA,"45-55",NA,"2",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-water; var-longitudinal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TCUU6VVR","journalArticle",2018,"Wang, Zhang; Singh, Richa; Miller, Bruce E.; Tal-Singer, Ruth; Van Horn, Stephanie; Tomsho, Lynn; Mackay, Alexander; Allinson, James P.; Webb, Adam J.; Brookes, Anthony J.; George, Leena M.; Barker, Bethan; Kolsum, Umme; Donnelly, Louise E.; Belchamber, Kylie; Barnes, Peter J.; Singh, Dave; Brightling, Christopher E.; Donaldson, Gavin C.; Wedzicha, Jadwiga A.; Brown, James R.; COPDMAP","Sputum microbiome temporal variability and dysbiosis in chronic obstructive pulmonary disease exacerbations: an analysis of the COPDMAP study","THORAX",NA,NA,"10.1136/thoraxjnl-2017-210741",NA,"Background Recent studies suggest that lung microbiome dysbiosis, the disease associated disruption of the lung microbial community, might play a key role in chronic obstructive pulmonary disease (COPD) exacerbations. However, characterising temporal variability of the microbiome from large longitudinal COPD cohorts is needed to better understand this phenomenon. Methods We performed a 16S ribosomal RNA survey of microbiome on 716 sputum samples collected longitudinally at baseline and exacerbations from 281 subjects with COPD at three UK clinical centres as part of the COPDMAP consortium. Results The microbiome composition was similar among centres and between stable and exacerbations except for a small significant decrease of Veillonella at exacerbations. The abundance of Moraxella was negatively associated with bacterial alpha diversity. Microbiomes were distinct between exacerbations associated with bacteria versus eosinophilic airway inflammation. Dysbiosis at exacerbations, measured as significant within subject deviation of microbial composition relative to baseline, was present in 41% of exacerbations. Dysbiosis was associated with increased exacerbation severity indicated by a greater fall in forced expiratory volume in one second, forced vital capacity and a greater increase in CAT score, particularly in exacerbations with concurrent eosinophilic inflammation. There was a significant difference of temporal variability of microbial alpha and beta diversity among centres. The variation of beta diversity significantly decreased in those subjects with frequent historical exacerbations. Conclusions Microbial dysbiosis is a feature of some exacerbations and its presence, especially in concert with eosinophilic inflammation, is associated with more severe exacerbations indicated by a greater fall in lung function.","2018-04","2022-06-27 16:28:42","2022-06-30 17:03:52",NA,"331-338",NA,"4",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M8X3K3J6","journalArticle",2022,"Falduto, Maria; Smedile, Francesco; Zhang, Man; Zheng, Ting; Zhu, Jieyu; Huang, Qingrong; Weeks, Richard; Ermakov, Alexey M.; Chikindas, Michael L.","Anti-obesity effects of Chenpi: an artificial gastrointestinal system study","MICROBIAL BIOTECHNOLOGY",NA,NA,"10.1111/1751-7915.14005",NA,"The gut microbiota plays a significant role in human health; however, the complex relationship between gut microbial communities and host health is still to be thoroughly studied and understood. Microbes in the distal gut contribute to host health through the biosynthesis of vitamins and essential amino acids and the generation of important metabolic by-products from dietary components that are left undigested by the small intestine. Aged citrus peel (Chenpi) is used in traditional Chinese medicine to lower cholesterol, promote weight loss and treat various gastrointestinal symptoms. This study investigated how the microbial community changes during treatment with Chenpi using the Simulator of the Human Intestinal Microbial Ecosystem (SHIME). Two preparations of Chenpi extract were tested: Chenpi suspended in oil only and Chenpi in a viscoelastic emulsion. Short-chain fatty acids (SCFAs) were measured during treatment to monitor changes in the microbial community of the colon presenting a decrease in production for acetic, propionic and butyric acid (ANOVA (P < 0.001) during the 15 days of treatment. 16S rRNA sequencing of microbial samples showed a clear difference between the two treatments at the different sampling times (ANOSIM P < 0.003; ADOSIM P < 0.002 [R-2 = 69%]). Beta diversity analysis by PcoA showed differences between the two Chenpi formulations for treatment day 6. These differences were no longer detectable as soon as the Chenpi treatment was stopped, showing a reversible effect of Chenpi on the human microbiome. 16S rRNA sequencing of microbial samples from the descending colon showed an increase in Firmicutes for the treatment with the viscoelastic emulsion. At the genus level, Roseburia, Blautia, Subdoligranulum and Eubacterium increased in numbers during the viscoelastic emulsion treatment. This study sheds light on the anti-obesity effect of a polymethoxyflavone (PMFs)-enriched Chenpi extract and creates a foundation for the identification of `obesity-prevention' biomarkers in the gut microbiota.","2022-03","2022-06-27 16:28:43","2022-06-30 16:58:10",NA,"874-885",NA,"3",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RGFNSFU5","journalArticle",2019,"Rocca, Jennifer D.; Simonin, Marie; Blaszczak, Joanna R.; Ernakovich, Jessica G.; Gibbons, Sean M.; Midani, Firas S.; Washburne, Alex D.","The Microbiome Stress Project: Toward a Global Meta-Analysis of Environmental Stressors and Their Effects on Microbial Communities","FRONTIERS IN MICROBIOLOGY",NA,NA,"10.3389/fmicb.2018.03272",NA,"Microbial community structure is highly sensitive to natural (e.g., drought, temperature, fire) and anthropogenic (e.g., heavy metal exposure, land-use change) stressors. However, despite an immense amount of data generated, systematic, cross-environment analyses of microbiome responses to multiple disturbances are lacking. Here, we present the Microbiome Stress Project, an open-access database of environmental and host-associated 16S rRNA amplicon sequencing studies collected to facilitate cross-study analyses of microbiome responses to stressors. This database will comprise published and unpublished datasets re-processed from the raw sequences into exact sequence variants using our standardized computational pipeline. Our database will provide insight into general response patterns of microbiome diversity, structure, and stability to environmental stressors. It will also enable the identification of cross-study associations between single or multiple stressors and specific microbial clades. Here, we present a proof-of-concept meta-analysis of 606 microbiomes (from nine studies) to assess microbial community responses to: (1) one stressor in one environment: soil warming across a variety of soil types, (2) a range of stressors in one environment: soil microbiome responses to a comprehensive set of stressors (incl. temperature, diesel, antibiotics, land use change, drought, and heavy metals), (3) one stressor across a range of environments: copper exposure effects on soil, sediment, activated-sludge reactors, and gut environments, and (4) the general trends of microbiome stressor responses. Overall, we found that stressor exposure significantly decreases microbiome alpha diversity and increases beta diversity (community dispersion) across a range of environments and stressor types. We observed a hump-shaped relationship between microbial community resistance to stressors (i.e., the average pairwise similarity score between the control and stressed communities) and alpha diversity. We used Phylofactor to identify microbial clades and individual taxa as potential bioindicators of copper contamination across different environments. Using standardized computational and statistical methods, the Microbiome Stress Project will leverage thousands of existing datasets to build a general framework for how microbial communities respond to environmental stress.","2019-01-10","2022-06-27 16:28:43","2022-07-19 19:22:12",NA,"",NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human gut; biome-soil; var-environmental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEFDRL7E","journalArticle",2019,"McDaneld, Tara G.; Kuehn, Larry A.; Keele, John W.","Microbiome of the upper nasal cavity of beef calves prior to weaning","JOURNAL OF ANIMAL SCIENCE",NA,NA,"10.1093/jas/skz119",NA,"Disease incidence is intimately associated with an animal's commensal bacteria populations (microbiome), as microbes that are involved with morbidity and mortality are commonly found in animals with no sign of disease. An understanding of the animal's resident respiratory pathogens, in the upper nasal cavity prior to weaning, may help us to understand the impact of these pathogens on incidence of respiratory disease. For this research, the overall goal was to characterize bacterial populations associated with calves at an early age and through time periods prior to weaning in 3 herds at the U.S. Meat Animal Research Center. Nasal swabs from the upper nasal cavity were collected at initial vaccination (approximately 40 d of age), preconditioning (approximately 130 d of age), and weaning (approximately 150 d of age) in 2015 and 2016. DNA was extracted from nasal swabs and combined into 2 pools of 10 animals for each sampling time point, in each herd, for a total of 6 pools at each sampling time point and 18 pools for all sampling time points within each year. To evaluate and compare the microbiome of each pooled sample, hypervariable regions 1 through 3 along the 16S ribosomal RNA (rRNA) gene were amplified by PCR and sequenced using next-generation sequencing (Illumina MiSeq) for identification of the bacterial taxa present. Alpha and beta diversity were also measured. Overall, microbial communities were different between combinations of sampling year, herd location, and sampling time prior to weaning as shown by beta diversity. Analysis of these specific respiratory pathogens prior to weaning will present a clearer picture of the distribution of microbial populations in animals prior to weaning and not exhibiting clinical signs of respiratory disease. Therefore, evaluation of the animal's resident bacterial populations in the upper nasal cavity during different phases of the beef production system may help us to understand the impact of the microbiome on incidence of respiratory disease in cattle.","2019-06","2022-06-27 16:28:43","2022-06-30 19:54:29",NA,"2368-2375",NA,"6",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-cattle nasal; var-disease",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3YETSSN5","journalArticle",2022,"Yu, Huang; Zhong, Qiuping; Peng, Yisheng; Zheng, Xiafei; Xiao, Fanshu; Wu, Bo; Yu, Xiaoli; Luo, Zhiwen; Shu, Longfei; Wang, Cheng; Yan, Qingyun; He, Zhili","Environmental Filtering by pH and Salinity Jointly Drives Prokaryotic Community Assembly in Coastal Wetland Sediments","FRONTIERS IN MARINE SCIENCE",NA,NA,"10.3389/fmars.2021.792294",NA,"Understanding the microbial community assembly is an essential topic in microbial ecology. Coastal wetlands are an important blue carbon sink, where microbes play a key role in biogeochemical cycling of nutrients and energy transformation. However, the drivers controlling the distribution patterns and assembly of bacterial and archaeal communities in coastal wetland are unclear. Here we examined the diversity, co-occurrence network, assembly processes and environmental drivers of bacterial and archaeal communities from inshore to offshore sediments by the sequencing of 16S rRNA gene amplicons. The value of alpha- and beta-diversity of bacterial and archaeal communities generally did not change significantly (P > 0.05) between offshore sites, but changed significantly (P < 0.05) among inshore sites. Sediment pH and salinity showed significant effects on the diversity and keystone taxa of bacterial and archaeal communities. The bacterial and archaeal co-occurrence networks were inextricably linked with pH and salinity to formed the large network nodes, suggesting that they were the key factors to drive the prokaryotic community. We also identified that heterogeneous and homogeneous selection drove the bacterial and archaeal community assembly, while the two selections became weaker from offshore sites to inshore sites, suggesting that deterministic processes were more important in offshore sites. Overall, these results suggested that the environmental filtering of pH and salinity jointly governed the assembly of prokaryotic community in offshore sediments. This study advances our understanding of microbial community assembly in coastal wetland ecosystems.","2022-01-12","2022-06-27 16:28:43","2022-06-30 20:56:03",NA,"",NA,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-soil; var-pH; var-salinity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WJ5K9EN8","journalArticle",2021,"Zhou, Jia; Cavagnaro, Timothy R.; De Bei, Roberta; Nelson, Tiffanie M.; Stephen, John R.; Metcalfe, Andrew; Gilliham, Matthew; Breen, James; Collins, Cassandra; Lopez, Carlos M. Rodriguez","Wine Terroir and the Soil Bacteria: An Amplicon Sequencing-Based Assessment of the Barossa Valley and Its Sub-Regions","FRONTIERS IN MICROBIOLOGY",NA,NA,"10.3389/fmicb.2020.597944",NA,"A wines' terroir, represented as wine traits with regional distinctiveness, is a reflection of both the biophysical and human-driven conditions in which the grapes were grown and wine made. Soil is an important factor contributing to the uniqueness of a wine produced by vines grown in specific conditions. Here, we evaluated the impact of environmental variables on the soil bacteria of 22 Barossa Valley vineyard sites based on the 16S rRNA gene hypervariable region 4. In this study, we report that both dispersal isolation by geographic distance and environmental heterogeneity (soil plant-available P content, elevation, rainfall, temperature, spacing between row and spacing between vine) contribute to microbial community dissimilarity between vineyards. Vineyards located in cooler and wetter regions showed lower beta diversity and a higher ratio of dominant taxa. Differences in soil bacterial community composition were significantly associated with differences in fruit and wine composition. Our results suggest that environmental factors affecting wine terroir, may be mediated by changes in microbial structure, thus providing a basic understanding of how growing conditions affect interactions between plants and their soil bacteria.","2021-01-07","2022-06-27 16:28:43","2022-06-27 16:28:43",NA,"",NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-soil; var-geography",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4I9NJ3DQ","journalArticle",2022,"Schmiester, Maren; Maier, Rene; Riedel, Rene; Durek, Pawel; Frentsch, Marco; Kolling, Stefan; Mashreghi, Mir-Farzin; Jenq, Robert; Zhang, Liangliang; Peterson, Christine B.; Bullinger, Lars; Chang, Hyun-Dong; Na, Il-Kang","Flow cytometry can reliably capture gut microbial composition in healthy adults as well as dysbiosis dynamics in patients with aggressive B-cell non-Hodgkin lymphoma","GUT MICROBES",NA,NA,"10.1080/19490976.2022.2081475",NA,"Modulation of commensal gut microbiota is increasingly recognized as a promising strategy to reduce mortality in patients with malignant diseases, but monitoring for dysbiosis is generally not routine clinical practice due to equipment, expertise and funding required for sequencing analysis. A low-threshold alternative is microbial diversity profiling by single-cell flow cytometry (FCM), which we compared to 16S rRNA sequencing in human fecal samples and employed to characterize longitudinal changes in the microbiome composition of patients with aggressive B-cell non-Hodgkin lymphoma undergoing chemoimmunotherapy. Diversity measures obtained from both methods were correlated and captured identical trends in microbial community structures, finding no difference in patients' pretreatment alpha or beta diversity compared to healthy controls and a significant and progressive loss of alpha diversity during chemoimmunotherapy. Our results highlight the potential of FCM-based microbiome profiling as a reliable and accessible diagnostic tool that can provide novel insights into cancer therapy-associated dysbiosis dynamics.","2022-12-31","2022-06-27 16:28:43","2022-07-18 22:06:28",NA,"",NA,"1",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type: Article",NA,NA,NA,"16S sequencing; biome-human gut; var-disease; var-longitudinal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
